PARADA;PARTIDA;LINHA;DESTINO
6;14:00;L009/10;ISOLINA MAZZEI (VIA HORTO)
3;14:03;L005/10;TERM. CACHOEIRINHA
2;14:05;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
1;14:15;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
6;14:18;L007/42;GENEVE
7;14:22;L010/10;JARDIM CECY
1;14:26;L007/10;LAUZANE PAULISTA
5;14:28;L002/10;METRÔ SANTANA
4;14:30;L004/10;UBS LADEIRA ROSA (CIRCULAR)
2;14:30;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
6;14:34;L009/10;ISOLINA MAZZEI (VIA HORTO)
3;14:45;L005/10;TERM. CACHOEIRINHA
4;14:51;L006/10;UBS LADEIRA ROSA (EXPRESSO)
2;14:55;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;14:56;L003/10;VILA RICA
1;15:02;L007/10;LAUZANE PAULISTA
7;15:02;L010/10;JARDIM CECY
3;15:03;L005/10;TERM. CACHOEIRINHA
6;15:08;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;15:10;L004/10;UBS LADEIRA ROSA (CIRCULAR)
8;15:12;L29P/10;TERMINAL PINHEIROS
1;15:15;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
1;15:20;0L05/10;VIAMOBILIDADE (CAPÃO REDONDO)
6;15:20;L007/42;GENEVE
2;15:20;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
7;15:22;L010/10;JARDIM CECY
1;15:28;L007/10;LAUZANE PAULISTA
6;15:42;L009/10;ISOLINA MAZZEI (VIA HORTO)
7;15:42;L010/10;JARDIM CECY
3;15:44;L005/10;TERM. CACHOEIRINHA
1;15:44;L007/10;LAUZANE PAULISTA
1;15:45;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
2;15:45;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
4;15:50;L004/10;UBS LADEIRA ROSA (CIRCULAR)
5;15:50;L002/10;METRÔ SANTANA
1;16:00;L007/10;LAUZANE PAULISTA
7;16:02;L010/10;JARDIM CECY
3;16:06;L005/10;TERM. CACHOEIRINHA
6;16:06;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;16:07;L006/10;UBS LADEIRA ROSA (EXPRESSO)
6;16:08;L007/42;GENEVE
2;16:10;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
5;16:11;L008/42;JARDIM CENTENÁRIO (CIRC.)
4;16:14;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;16:16;L007/10;LAUZANE PAULISTA
1;16:17;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
3;16:20;L003/10;VILA RICA
7;16:22;L010/10;JARDIM CECY
6;16:30;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;16:32;L007/10;LAUZANE PAULISTA
5;16:33;L008/42;JARDIM CENTENÁRIO (CIRC.)
2;16:35;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
5;16:38;L002/10;METRÔ SANTANA
4;16:38;L004/10;UBS LADEIRA ROSA (CIRCULAR)
2;16:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;16:42;L005/10;TERM. CACHOEIRINHA
7;16:42;L010/10;JARDIM CECY
1;16:48;L007/10;LAUZANE PAULISTA
1;16:49;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
6;16:54;L009/10;ISOLINA MAZZEI (VIA HORTO)
5;16:55;L008/42;JARDIM CENTENÁRIO (CIRC.)
6;16:56;L007/42;GENEVE
4;16:57;L006/10;UBS LADEIRA ROSA (EXPRESSO)
3;17:00;L003/10;VILA RICA
2;17:00;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
4;17:02;L004/10;UBS LADEIRA ROSA (CIRCULAR)
7;17:02;L010/10;JARDIM CECY
1;17:04;L007/10;LAUZANE PAULISTA
3;17:04;L005/10;TERM. CACHOEIRINHA
1;17:05;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
5;17:17;L008/42;JARDIM CENTENÁRIO (CIRC.)
6;17:18;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;17:20;L007/10;LAUZANE PAULISTA
2;17:20;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
7;17:22;L010/10;JARDIM CECY
4;17:26;L004/10;UBS LADEIRA ROSA (CIRCULAR)
5;17:26;L002/10;METRÔ SANTANA
1;17:36;L007/10;LAUZANE PAULISTA
1;17:37;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
5;17:39;L008/42;JARDIM CENTENÁRIO (CIRC.)
3;17:40;L003/10;VILA RICA
2;17:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
7;17:42;L010/10;JARDIM CECY
6;17:42;L009/10;ISOLINA MAZZEI (VIA HORTO)
6;17:44;L007/42;GENEVE
3;17:45;L005/10;TERM. CACHOEIRINHA
4;17:47;L006/10;UBS LADEIRA ROSA (EXPRESSO)
4;17:50;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;17:52;L007/10;LAUZANE PAULISTA
2;18:00;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
5;18:01;L008/42;JARDIM CENTENÁRIO (CIRC.)
3;18:02;L005/10;TERM. CACHOEIRINHA
7;18:02;L010/10;JARDIM CECY
6;18:06;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;18:08;L007/10;LAUZANE PAULISTA
1;18:08;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
5;18:14;L002/10;METRÔ SANTANA
4;18:14;L004/10;UBS LADEIRA ROSA (CIRCULAR)
3;18:20;L003/10;VILA RICA
2;18:20;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
7;18:22;L010/10;JARDIM CECY
5;18:23;L008/42;JARDIM CENTENÁRIO (CIRC.)
1;18:24;L007/10;LAUZANE PAULISTA
1;18:25;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
6;18:30;L009/10;ISOLINA MAZZEI (VIA HORTO)
6;18:32;L007/42;GENEVE
8;18:36;L29P/10;TERMINAL PINHEIROS
4;18:37;L006/10;UBS LADEIRA ROSA (EXPRESSO)
4;18:38;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;18:40;L007/10;LAUZANE PAULISTA
2;18:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
7;18:42;L010/10;JARDIM CECY
5;18:45;L008/42;JARDIM CENTENÁRIO (CIRC.)
3;18:48;L005/10;TERM. CACHOEIRINHA
6;18:54;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;18:56;L007/10;LAUZANE PAULISTA
3;19:00;L003/10;VILA RICA
2;19:00;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
4;19:02;L004/10;UBS LADEIRA ROSA (CIRCULAR)
5;19:02;L002/10;METRÔ SANTANA
7;19:02;L010/10;JARDIM CECY
3;19:03;L005/10;TERM. CACHOEIRINHA
6;19:18;L009/10;ISOLINA MAZZEI (VIA HORTO)
6;19:20;L007/42;GENEVE
2;19:20;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
1;19:22;L007/10;LAUZANE PAULISTA
1;19:25;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
4;19:27;L006/10;UBS LADEIRA ROSA (EXPRESSO)
3;19:40;L003/10;VILA RICA
2;19:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;19:42;L005/10;TERM. CACHOEIRINHA
7;19:42;L010/10;JARDIM CECY
5;19:50;L002/10;METRÔ SANTANA
4;19:50;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;19:52;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;19:58;L007/10;LAUZANE PAULISTA
2;20:00;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;20:02;L005/10;TERM. CACHOEIRINHA
6;20:10;L007/42;GENEVE
7;20:22;L010/10;JARDIM CECY
4;20:25;L006/10;UBS LADEIRA ROSA (EXPRESSO)
1;20:25;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
6;20:26;L009/10;ISOLINA MAZZEI (VIA HORTO)
3;20:30;L003/10;VILA RICA
4;20:30;L004/10;UBS LADEIRA ROSA (CIRCULAR)
2;20:30;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
5;20:32;L002/10;METRÔ SANTANA
1;20:34;L007/10;LAUZANE PAULISTA
3;20:42;L005/10;TERM. CACHOEIRINHA
1;20:55;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
6;21:00;L009/10;ISOLINA MAZZEI (VIA HORTO)
2;21:00;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
6;21:02;L007/42;GENEVE
3;21:02;L005/10;TERM. CACHOEIRINHA
7;21:02;L010/10;JARDIM CECY
1;21:10;L007/10;LAUZANE PAULISTA
4;21:10;L004/10;UBS LADEIRA ROSA (CIRCULAR)
5;21:14;L002/10;METRÔ SANTANA
3;21:20;L003/10;VILA RICA
2;21:30;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
4;21:31;L006/10;UBS LADEIRA ROSA (EXPRESSO)
6;21:34;L009/10;ISOLINA MAZZEI (VIA HORTO)
3;21:42;L005/10;TERM. CACHOEIRINHA
7;21:42;L010/10;JARDIM CECY
4;21:50;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;21:54;L007/42;GENEVE
5;21:56;L002/10;METRÔ SANTANA
2;22:00;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;22:02;L005/10;TERM. CACHOEIRINHA
3;22:10;L003/10;VILA RICA
2;22:30;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
